sample_id,sample_date,chemical,chem_conc,rolling_avg
Q1,1987-06-30,no3_n,145,54.20933333333333
Q1,1987-07-07,k,0.68,NA
Q1,1987-07-07,mg,2.49,NA
Q1,1987-07-07,ca,3.53,NA
Q1,1987-07-07,nh4_n,106,NA
Q1,1987-07-07,no3_n,142,NA
Q1,1987-07-14,k,0.79,NA
Q1,1987-07-14,mg,2.73,NA
Q1,1987-07-14,ca,4.26,NA
Q1,1987-07-14,nh4_n,28,NA
Q1,1987-07-14,no3_n,170,NA
Q1,1987-07-21,k,0.93,NA
Q1,1987-07-21,mg,2.4,NA
Q1,1987-07-21,ca,3.87,NA
Q1,1987-07-21,nh4_n,45,NA
Q1,1987-07-21,no3_n,178,NA
Q1,1987-07-28,k,0.87,NA
Q1,1987-07-28,mg,2.78,NA
Q1,1987-07-28,ca,4.18,NA
Q1,1987-07-28,nh4_n,29,NA
Q1,1987-07-28,no3_n,148,NA
Q1,1987-08-04,k,0.87,NA
Q1,1987-08-04,mg,2.86,NA
Q1,1987-08-04,ca,4.42,NA
Q1,1987-08-04,nh4_n,79,NA
Q1,1987-08-04,no3_n,151,NA
Q1,1987-08-11,k,0.86,NA
Q1,1987-08-11,mg,2.88,NA
Q1,1987-08-11,ca,4.46,NA
Q1,1987-08-11,nh4_n,30,NA
Q1,1987-08-11,no3_n,133,NA
Q1,1987-08-18,k,0.93,NA
Q1,1987-08-18,mg,2.94,NA
Q1,1987-08-18,ca,4.43,NA
Q1,1987-08-18,nh4_n,33,NA
Q1,1987-08-18,no3_n,140,NA
Q1,1987-08-25,k,0.9,NA
Q1,1987-08-25,mg,2.86,NA
Q1,1987-08-25,ca,4.26,NA
Q1,1987-08-25,nh4_n,23,NA
Q1,1987-08-25,no3_n,166,NA
Q1,1987-09-01,k,0.84,NA
Q1,1987-09-01,mg,2.88,NA
Q1,1987-09-01,ca,4.25,NA
Q1,1987-09-01,nh4_n,34,NA
Q1,1987-09-01,no3_n,142,NA
Q1,1987-09-08,k,NA,NA
Q1,1987-09-08,mg,NA,NA
Q1,1987-09-08,ca,NA,NA
Q1,1987-09-08,nh4_n,20,NA
Q1,1987-09-08,no3_n,145,NA
Q1,1987-09-15,k,0.82,NA
Q1,1987-09-15,mg,3,NA
Q1,1987-09-15,ca,4.44,NA
Q1,1987-09-15,nh4_n,18,NA
Q1,1987-09-15,no3_n,142,NA
Q1,1987-09-22,k,0.8,NA
Q1,1987-09-22,mg,2.91,NA
Q1,1987-09-22,ca,4.46,NA
Q1,1987-09-22,nh4_n,7,NA
Q1,1987-09-22,no3_n,158,NA
Q1,1987-09-29,k,0.24,NA
Q1,1987-09-29,mg,3.1,NA
Q1,1987-09-29,ca,4.92,NA
Q1,1987-09-29,nh4_n,15,NA
Q1,1987-09-29,no3_n,133,NA
Q1,1987-10-05,k,0.57,NA
Q1,1987-10-05,mg,0.61,NA
Q1,1987-10-05,ca,1.11,NA
Q1,1987-10-05,nh4_n,95,NA
Q1,1987-10-05,no3_n,259,NA
Q1,1987-10-05,k,0.8,NA
Q1,1987-10-05,mg,0.6,NA
Q1,1987-10-05,ca,1.03,NA
Q1,1987-10-05,nh4_n,92,NA
Q1,1987-10-05,no3_n,256,NA
Q1,1987-10-05,k,0.85,NA
Q1,1987-10-05,mg,0.8,NA
Q1,1987-10-05,ca,1.44,NA
Q1,1987-10-05,nh4_n,72,NA
Q1,1987-10-05,no3_n,282,NA
Q1,1987-10-05,k,0.76,NA
Q1,1987-10-05,mg,0.62,NA
Q1,1987-10-05,ca,1.18,NA
Q1,1987-10-05,nh4_n,61,NA
Q1,1987-10-05,no3_n,263,NA
Q1,1987-10-06,k,0.77,NA
Q1,1987-10-06,mg,3.03,NA
Q1,1987-10-06,ca,4.48,NA
Q1,1987-10-06,nh4_n,12,NA
Q1,1987-10-06,no3_n,NA,NA
Q1,1987-10-13,k,0.77,NA
Q1,1987-10-13,mg,2.83,NA
Q1,1987-10-13,ca,4.55,NA
Q1,1987-10-13,nh4_n,15,NA
Q1,1987-10-13,no3_n,144,NA
Q1,1987-10-22,k,0.71,NA
Q1,1987-10-22,mg,2.71,NA
Q1,1987-10-22,ca,4.7,NA
Q1,1987-10-22,nh4_n,10,NA
Q1,1987-10-22,no3_n,136,NA
Q1,1987-10-29,k,0.74,NA
Q1,1987-10-29,mg,2.91,NA
Q1,1987-10-29,ca,4.71,NA
Q1,1987-10-29,nh4_n,9,NA
Q1,1987-10-29,no3_n,136,NA
Q1,1987-11-05,k,0.77,NA
Q1,1987-11-05,mg,2.56,NA
Q1,1987-11-05,ca,4.29,NA
Q1,1987-11-05,nh4_n,33,NA
Q1,1987-11-05,no3_n,165,NA
Q1,1987-11-12,k,0.7,NA
Q1,1987-11-12,mg,2.9,NA
Q1,1987-11-12,ca,3.95,NA
Q1,1987-11-12,nh4_n,NA,NA
Q1,1987-11-12,no3_n,133,NA
Q1,1987-11-24,k,0.8,NA
Q1,1987-11-24,mg,1.77,NA
Q1,1987-11-24,ca,2.89,NA
Q1,1987-11-24,nh4_n,21,NA
Q1,1987-11-24,no3_n,182,NA
Q1,1987-11-25,k,0.75,NA
Q1,1987-11-25,mg,1.68,NA
Q1,1987-11-25,ca,2.8,NA
Q1,1987-11-25,nh4_n,14,NA
Q1,1987-11-25,no3_n,168,NA
Q1,1987-12-01,k,0.73,NA
Q1,1987-12-01,mg,2.11,NA
Q1,1987-12-01,ca,3.3,NA
Q1,1987-12-01,nh4_n,NA,NA
Q1,1987-12-01,no3_n,210,NA
Q1,1987-12-07,k,0.63,NA
Q1,1987-12-07,mg,0.99,NA
Q1,1987-12-07,ca,1.59,NA
Q1,1987-12-07,nh4_n,16,NA
Q1,1987-12-07,no3_n,200,NA
Q1,1987-12-08,k,0.63,NA
Q1,1987-12-08,mg,1.28,NA
Q1,1987-12-08,ca,2.34,NA
Q1,1987-12-08,nh4_n,13,NA
Q1,1987-12-08,no3_n,159,NA
Q1,1987-12-15,k,0.77,NA
Q1,1987-12-15,mg,2.24,NA
Q1,1987-12-15,ca,3.66,NA
Q1,1987-12-15,nh4_n,22,NA
Q1,1987-12-15,no3_n,182,NA
Q1,1987-12-22,k,0.78,NA
Q1,1987-12-22,mg,2.39,NA
Q1,1987-12-22,ca,3.68,NA
Q1,1987-12-22,nh4_n,14,NA
Q1,1987-12-22,no3_n,163,NA
Q1,1987-12-29,k,0.76,NA
Q1,1987-12-29,mg,2.63,NA
Q1,1987-12-29,ca,4.11,NA
Q1,1987-12-29,nh4_n,18,NA
Q1,1987-12-29,no3_n,163,NA
Q1,1988-01-05,k,0.76,NA
Q1,1988-01-05,mg,2.66,NA
Q1,1988-01-05,ca,4.06,NA
Q1,1988-01-05,nh4_n,19,NA
Q1,1988-01-05,no3_n,132,NA
