sample_id,sample_date,chemical,chem_conc
Q1,1988-10-04,k,0.73
Q1,1988-10-04,mg,2.09
Q1,1988-10-04,ca,3.05
Q1,1988-10-04,nh4_n,59
Q1,1988-10-04,no3_n,43
Q1,1988-10-11,k,0.75
Q1,1988-10-11,mg,2.58
Q1,1988-10-11,ca,5.02
Q1,1988-10-11,nh4_n,49
Q1,1988-10-11,no3_n,151
Q1,1988-10-18,k,NA
Q1,1988-10-18,mg,NA
Q1,1988-10-18,ca,NA
Q1,1988-10-18,nh4_n,46
Q1,1988-10-18,no3_n,154
Q1,1988-10-25,k,0.88
Q1,1988-10-25,mg,2.56
Q1,1988-10-25,ca,3.97
Q1,1988-10-25,nh4_n,NA
Q1,1988-10-25,no3_n,146
Q1,1988-11-01,k,0.86
Q1,1988-11-01,mg,2.72
Q1,1988-11-01,ca,4.28
Q1,1988-11-01,nh4_n,NA
Q1,1988-11-01,no3_n,143
Q1,1988-11-07,k,0.87
Q1,1988-11-07,mg,2.73
Q1,1988-11-07,ca,4.34
Q1,1988-11-07,nh4_n,NA
Q1,1988-11-07,no3_n,137
Q1,1988-11-15,k,0.99
Q1,1988-11-15,mg,2.68
Q1,1988-11-15,ca,4.22
Q1,1988-11-15,nh4_n,NA
Q1,1988-11-15,no3_n,130
Q1,1988-11-22,k,0.86
Q1,1988-11-22,mg,2.31
Q1,1988-11-22,ca,3.82
Q1,1988-11-22,nh4_n,NA
Q1,1988-11-22,no3_n,139
Q1,1988-11-29,k,0.82
Q1,1988-11-29,mg,2.8
Q1,1988-11-29,ca,4.2
Q1,1988-11-29,nh4_n,NA
Q1,1988-11-29,no3_n,139
Q1,1988-12-06,k,0.82
Q1,1988-12-06,mg,2.5
Q1,1988-12-06,ca,4.24
Q1,1988-12-06,nh4_n,NA
Q1,1988-12-06,no3_n,139
Q1,1988-12-13,k,1.05
Q1,1988-12-13,mg,2.65
Q1,1988-12-13,ca,4.23
Q1,1988-12-13,nh4_n,NA
Q1,1988-12-13,no3_n,149
Q1,1988-12-20,k,0.93
Q1,1988-12-20,mg,2.75
Q1,1988-12-20,ca,4.26
Q1,1988-12-20,nh4_n,NA
Q1,1988-12-20,no3_n,156
Q1,1988-12-27,k,0.93
Q1,1988-12-27,mg,2.68
Q1,1988-12-27,ca,4.15
Q1,1988-12-27,nh4_n,NA
Q1,1988-12-27,no3_n,156
Q1,1989-01-03,k,0.23
Q1,1989-01-03,mg,0.49
Q1,1989-01-03,ca,NA
Q1,1989-01-03,nh4_n,NA
Q1,1989-01-03,no3_n,NA
Q1,1989-01-10,k,0.97
Q1,1989-01-10,mg,2.49
Q1,1989-01-10,ca,4.09
Q1,1989-01-10,nh4_n,NA
Q1,1989-01-10,no3_n,221
Q1,1989-01-17,k,0.99
Q1,1989-01-17,mg,2.73
Q1,1989-01-17,ca,4.43
Q1,1989-01-17,nh4_n,NA
Q1,1989-01-17,no3_n,10
Q1,1989-01-24,k,0.96
Q1,1989-01-24,mg,2.79
Q1,1989-01-24,ca,4.4
Q1,1989-01-24,nh4_n,NA
Q1,1989-01-24,no3_n,155
Q1,1989-01-31,k,0.99
