sample_id,sample_date,chemical,chem_conc,rolling_avg
Q1,1988-12-20,no3_n,156,138.625
Q1,1988-12-27,k,0.93,0.8555555555555555
Q1,1988-12-27,mg,2.68,2.431111111111111
Q1,1988-12-27,ca,4.15,4.25
Q1,1988-12-27,nh4_n,NA,NA
Q1,1988-12-27,no3_n,156,140.625
Q1,1989-01-03,k,0.23,0.8744444444444445
Q1,1989-01-03,mg,0.49,2.438888888888889
Q1,1989-01-03,ca,NA,4.285
Q1,1989-01-03,nh4_n,NA,NA
Q1,1989-01-03,no3_n,NA,144.625
Q1,1989-01-10,k,0.97,0.8888888888888888
Q1,1989-01-10,mg,2.49,2.47
Q1,1989-01-10,ca,4.09,4.3175
Q1,1989-01-10,nh4_n,NA,NA
Q1,1989-01-10,no3_n,221,149.25
Q1,1989-01-17,k,0.99,0.8588888888888889
Q1,1989-01-17,mg,2.73,2.502222222222222
Q1,1989-01-17,ca,4.43,4.32875
Q1,1989-01-17,nh4_n,NA,NA
Q1,1989-01-17,no3_n,10,153
Q1,1989-01-24,k,0.96,0.85
Q1,1989-01-24,mg,2.79,2.5044444444444443
Q1,1989-01-24,ca,4.4,4.31875
Q1,1989-01-24,nh4_n,NA,NA
Q1,1989-01-24,no3_n,155,153.375
Q1,1989-01-31,k,0.99,0.851111111111111
Q1,1989-01-31,mg,2.87,2.5
Q1,1989-01-31,ca,4.48,4.2925
Q1,1989-01-31,nh4_n,NA,NA
Q1,1989-01-31,no3_n,171,153.75
Q1,1989-02-07,k,0.95,0.9177777777777778
Q1,1989-02-07,mg,2.78,2.7688888888888887
Q1,1989-02-07,ca,4.5,4.292222222222223
Q1,1989-02-07,nh4_n,NA,NA
Q1,1989-02-07,no3_n,176,153.55555555555554
Q1,1989-02-14,k,0.78,0.9088888888888889
Q1,1989-02-14,mg,2.94,2.783333333333333
Q1,1989-02-14,ca,4.32,4.293333333333333
Q1,1989-02-14,nh4_n,NA,NA
Q1,1989-02-14,no3_n,179,130.11111111111111
Q1,1989-02-21,k,0.85,0.8866666666666666
Q1,1989-02-21,mg,2.77,2.8
Q1,1989-02-21,ca,4.18,4.251111111111111
Q1,1989-02-21,nh4_n,NA,NA
Q1,1989-02-21,no3_n,159,145.44444444444446
Q1,1989-02-28,k,0.94,0.8677777777777778
Q1,1989-02-28,mg,2.64,2.8033333333333332
Q1,1989-02-28,ca,3.94,4.204444444444444
Q1,1989-02-28,nh4_n,NA,NA
Q1,1989-02-28,no3_n,159,144.55555555555554
Q1,1989-03-07,k,0.83,0.8488888888888889
Q1,1989-03-07,mg,2.91,2.791111111111111
Q1,1989-03-07,ca,4.29,4.096666666666667
Q1,1989-03-07,nh4_n,NA,NA
Q1,1989-03-07,no3_n,152,141.77777777777777
Q1,1989-03-09,k,NA,0.8488888888888889
Q1,1989-03-09,mg,NA,2.791111111111111
Q1,1989-03-09,ca,NA,4.096666666666667
Q1,1989-03-09,nh4_n,NA,NA
Q1,1989-03-09,no3_n,NA,141.77777777777777
Q1,1989-03-14,k,NA,0.8366666666666667
Q1,1989-03-14,mg,NA,2.7466666666666666
Q1,1989-03-14,ca,NA,4.073333333333333
Q1,1989-03-14,nh4_n,NA,NA
Q1,1989-03-14,no3_n,10,138.11111111111111
Q1,1989-03-14,k,0.89,0.8366666666666667
Q1,1989-03-14,mg,2.62,2.7466666666666666
Q1,1989-03-14,ca,4.1,4.073333333333333
Q1,1989-03-14,nh4_n,NA,NA
Q1,1989-03-14,no3_n,NA,138.11111111111111
Q1,1989-03-21,k,0.79,0.8366666666666667
Q1,1989-03-21,mg,2.88,2.73
Q1,1989-03-21,ca,4.05,4.14
Q1,1989-03-21,nh4_n,NA,NA
Q1,1989-03-21,no3_n,148,130.88888888888889
Q1,1989-03-28,k,0.79,0.84
Q1,1989-03-28,mg,2.82,2.7266666666666666
Q1,1989-03-28,ca,3.98,4.222222222222222
Q1,1989-03-28,nh4_n,NA,NA
Q1,1989-03-28,no3_n,147,129.55555555555554
Q1,1989-04-04,k,0.82,0.8366666666666667
Q1,1989-04-04,mg,2.76,2.7444444444444445
Q1,1989-04-04,ca,3.51,4.335555555555556
Q1,1989-04-04,nh4_n,NA,NA
Q1,1989-04-04,no3_n,146,126.88888888888889
Q1,1989-04-11,k,0.84,0.8544444444444445
Q1,1989-04-11,mg,2.38,2.7111111111111112
Q1,1989-04-11,ca,4.29,4.372222222222222
Q1,1989-04-11,nh4_n,NA,NA
Q1,1989-04-11,no3_n,143,126.44444444444444
Q1,1989-04-18,k,0.78,0.8544444444444445
Q1,1989-04-18,mg,2.79,2.738888888888889
Q1,1989-04-18,ca,4.92,4.444444444444445
Q1,1989-04-18,nh4_n,NA,NA
Q1,1989-04-18,no3_n,114,141.88888888888889
Q1,1989-04-25,k,0.88,0.8622222222222222
Q1,1989-04-25,mg,2.74,2.7399999999999998
Q1,1989-04-25,ca,4.92,4.528888888888889
Q1,1989-04-25,nh4_n,NA,NA
Q1,1989-04-25,no3_n,147,141.22222222222223
Q1,1989-05-02,k,0.91,0.8722222222222222
Q1,1989-05-02,mg,2.8,2.7555555555555555
Q1,1989-05-02,ca,4.96,4.613333333333333
Q1,1989-05-02,nh4_n,NA,NA
Q1,1989-05-02,no3_n,135,140.88888888888889
Q1,1989-05-09,k,0.99,0.9366666666666666
Q1,1989-05-09,mg,2.61,3.0011111111111113
Q1,1989-05-09,ca,4.62,4.803333333333334
Q1,1989-05-09,nh4_n,NA,NA
Q1,1989-05-09,no3_n,148,139.55555555555554
Q1,1989-05-16,k,0.89,0.9344444444444444
Q1,1989-05-16,mg,2.87,2.9655555555555555
Q1,1989-05-16,ca,4.75,4.863333333333333
Q1,1989-05-16,nh4_n,NA,NA
Q1,1989-05-16,no3_n,149,138
Q1,1989-05-23,k,0.86,0.9377777777777778
Q1,1989-05-23,mg,2.89,2.997777777777778
Q1,1989-05-23,ca,4.81,4.794444444444444
Q1,1989-05-23,nh4_n,NA,NA
Q1,1989-05-23,no3_n,142,141
Q1,1989-05-30,k,0.88,0.9322222222222222
Q1,1989-05-30,mg,2.96,3.0433333333333334
Q1,1989-05-30,ca,4.74,4.751111111111111
Q1,1989-05-30,nh4_n,NA,NA
Q1,1989-05-30,no3_n,144,142.55555555555554
Q1,1989-06-06,k,1.4,0.9299999999999999
Q1,1989-06-06,mg,4.97,2.8722222222222222
Q1,1989-06-06,ca,5.22,4.466666666666667
Q1,1989-06-06,nh4_n,NA,NA
Q1,1989-06-06,no3_n,134,128.66666666666666
Q1,1989-06-13,k,0.82,0.9333333333333333
Q1,1989-06-13,mg,2.06,2.91
Q1,1989-06-13,ca,4.83,4.514444444444444
Q1,1989-06-13,nh4_n,NA,NA
Q1,1989-06-13,no3_n,129,125.88888888888889
Q1,1989-06-20,k,0.81,0.9477777777777777
Q1,1989-06-20,mg,3.08,2.901111111111111
Q1,1989-06-20,ca,4.3,4.5344444444444445
Q1,1989-06-20,nh4_n,NA,NA
Q1,1989-06-20,no3_n,141,123
Q1,1989-06-27,k,0.83,0.9577777777777777
Q1,1989-06-27,mg,3.15,2.868888888888889
Q1,1989-06-27,ca,4.53,4.49
Q1,1989-06-27,nh4_n,NA,NA
Q1,1989-06-27,no3_n,161,120.125
Q1,1989-07-05,k,0.89,0.9622222222222222
Q1,1989-07-05,mg,1.26,2.847777777777778
Q1,1989-07-05,ca,2.4,4.441111111111111
Q1,1989-07-05,nh4_n,NA,NA
Q1,1989-07-05,no3_n,10,118.875
Q1,1989-07-11,k,1.02,0.9166666666666666
Q1,1989-07-11,mg,2.95,2.6277777777777778
Q1,1989-07-11,ca,5.05,4.373333333333333
Q1,1989-07-11,nh4_n,NA,NA
Q1,1989-07-11,no3_n,123,113.5
Q1,1989-07-18,k,1.02,0.9344444444444444
Q1,1989-07-18,mg,2.79,2.7422222222222223
Q1,1989-07-18,ca,4.93,4.333333333333333
Q1,1989-07-18,nh4_n,NA,NA
Q1,1989-07-18,no3_n,NA,109.25
Q1,1989-07-26,k,0.95,0.9444444444444444
Q1,1989-07-26,mg,2.6,2.5477777777777777
Q1,1989-07-26,ca,4.41,3.991111111111111
Q1,1989-07-26,nh4_n,NA,NA
Q1,1989-07-26,no3_n,119,116.625
Q1,1989-08-01,k,0.92,0.9522222222222222
Q1,1989-08-01,mg,2.77,2.493333333333333
Q1,1989-08-01,ca,4.3,3.9899999999999998
Q1,1989-08-01,nh4_n,NA,NA
Q1,1989-08-01,no3_n,134,101
Q1,1989-08-08,k,0.99,0.95
Q1,1989-08-08,mg,2.99,2.6822222222222223
Q1,1989-08-08,ca,4.61,4.251111111111111
Q1,1989-08-08,nh4_n,NA,NA
Q1,1989-08-08,no3_n,91,102.5
Q1,1989-08-15,k,0.98,0.9377777777777778
Q1,1989-08-15,mg,3.09,2.681111111111111
Q1,1989-08-15,ca,4.47,4.158888888888889
Q1,1989-08-15,nh4_n,NA,NA
Q1,1989-08-15,no3_n,95,99.57142857142857
Q1,1989-08-22,k,0.9,0.9344444444444444
Q1,1989-08-22,mg,1.33,2.6466666666666665
Q1,1989-08-22,ca,1.22,4.042222222222222
Q1,1989-08-22,nh4_n,NA,NA
Q1,1989-08-22,no3_n,200,88.375
Q1,1989-08-29,k,0.9,0.995
Q1,1989-08-29,mg,2.66,2.642
Q1,1989-08-29,ca,4.52,3.98
